Feature 1,Feature 2,Correlation
averageWeeklyWageAsPercentofStateAverage,averageWeeklyWage,1.0
perCapitaIncomeAsPercentofStatePCI,perCapitaIncome,0.9999999999999999
populationPercentOfState,population,0.9999990768801112
Gdp2021,gdp2022,0.9999577415731781
propertyTaxTotalLevy,educationalAttainmentGoal2030,0.9978614484679488
propertyTaxTotalLevy,k12Funding,0.997022329522894
educationalAttainmentGoal2030,k12Funding,0.9963765833603395
educationalAttainmentGoal2030,populationPercentOfState,0.9920223431872875
educationalAttainmentGoal2030,population,0.991936961300896
propertyTaxTotalLevy,populationPercentOfState,0.9901944931391975
propertyTaxTotalLevy,population,0.9901121057742214
k12Funding,populationPercentOfState,0.987194801644077
k12Funding,population,0.9870833098517543
PropertyValuationTotal,gdp2022,0.9857464155931875
PropertyValuationTotal,Gdp2021,0.9856628007047378
PropertyValuationTotal,propertyTaxTotalLevy,0.9823402442980644
propertyTaxTotalLevy,gdp2022,0.9814601664137854
educationalAttainmentGoal2030,gdp2022,0.9813403295018318
propertyTaxTotalLevy,Gdp2021,0.9803344987449143
educationalAttainmentGoal2030,Gdp2021,0.9803117898033503
PropertyValuationTotal,educationalAttainmentGoal2030,0.9801961086040097
k12Funding,gdp2022,0.9784505046416949
k12Funding,Gdp2021,0.9771851915105438
PropertyValuationTotal,k12Funding,0.9736920530676318
drugOverdoseEmergenciesTotal,childPovertyTotal,0.973274447341333
adultsWithoutHSDiplomaTotal,Gdp2021,0.9716758007290238
adultsWithoutHSDiplomaTotal,gdp2022,0.970889266692039
drugOverdoseEmergenciesTotal,adultsWithoutHSDiplomaTotal,0.9707840619435513
PropertyValuationTotal,populationPercentOfState,0.9674359447686293
PropertyValuationTotal,population,0.9673760525994559
adultsWithoutHSDiplomaTotal,population,0.9668485854551458
computingDeviceAccess2019Percent,computingDeviceAccess2022Percent,0.9667871157379182
adultsWithoutHSDiplomaTotal,populationPercentOfState,0.9667525039044362
gdp2022,populationPercentOfState,0.9664744704219908
gdp2022,population,0.9664098307596382
Gdp2021,populationPercentOfState,0.9656348688770908
Gdp2021,population,0.9655748740980256
overDoseDeathsTotal,drugOverdoseEmergenciesTotal,0.9655193607733359
PropertyValuationTotal,adultsWithoutHSDiplomaTotal,0.9620613470525056
over65ChangeSince2014Percent,over65in2024Percent,0.9616973927151954
adultsWithoutHSDiplomaTotal,childPovertyTotal,0.9609913142297771
educationalAttainmentGoal2030,adultsWithoutHSDiplomaTotal,0.9604614198398755
propertyTaxTotalLevy,adultsWithoutHSDiplomaTotal,0.957646592739118
overDoseDeathsTotal,childPovertyTotal,0.9564394786835695
computingDeviceAccess2019Percent,broadbandInternetAccess2019Percent,0.9541671014447339
drugOverdoseEmergenciesTotal,population,0.9529886101918326
drugOverdoseEmergenciesTotal,populationPercentOfState,0.9527936475633814
foodInsecurity2021Percent,foodInsecurity2022Percent,0.9518087531008937
adultsWithoutHSDiplomaTotal,k12Funding,0.9514252320849145
childPovertyTotal,population,0.9368233606359697
childPovertyTotal,populationPercentOfState,0.936579452684327
broadbandInternetAccess2019Percent,broadbandInternetAccess2022Percent,0.9331802850239418
propertyTaxLevy,propertyTaxRate,0.932651575118853
drugOverdoseEmergenciesTotal,educationalAttainmentGoal2030,0.9273944155160785
drugOverdoseEmergenciesTotal,Gdp2021,0.927346815398602
drugOverdoseEmergenciesTotal,gdp2022,0.926475701508535
propertyTaxTotalLevy,drugOverdoseEmergenciesTotal,0.9254420603592333
medicaidEnrollmentExpansionPercent,medicaidEnrollmentTraditionalPercent,0.9248465420759939
under18ChangeSince2014Percent,under18Percent,0.920034446989659
uninsuredResidents2020Percent,uninsuredResidents2021Percent,0.9185748255769423
drugOverdoseEmergenciesTotal,k12Funding,0.9172055418411356
PropertyValuationTotal,drugOverdoseEmergenciesTotal,0.9171827579776495
overDoseDeathsTotal,population,0.9153486335202419
overDoseDeathsTotal,populationPercentOfState,0.9150636566176802
overDoseDeathsTotal,adultsWithoutHSDiplomaTotal,0.9121434491798719
Gdp2021,childPovertyTotal,0.9074898572687463
computingDeviceAccess2019Percent,broadbandInternetAccess2022Percent,0.9069745048929717
gdp2022,childPovertyTotal,0.9060657325748476
computingDeviceAccess2022Percent,broadbandInternetAccess2019Percent,0.9058763765085671
educationalAttainmentGoal2030,childPovertyTotal,0.9056667375799581
propertyTaxTotalLevy,childPovertyTotal,0.8998515591165753
over65in2024Percent,medianAge,0.8975936954615521
k12Funding,childPovertyTotal,0.8964022765041035
computingDeviceAccess2022Percent,broadbandInternetAccess2022Percent,0.8909844380104185
PropertyValuationTotal,childPovertyTotal,0.8857884077161445
youthOpportunity2019Percent,youthOpportunity2022Percent,0.8744163862986483
overDoseDeathsTotal,educationalAttainmentGoal2030,0.8706300560141143
propertyTaxTotalLevy,overDoseDeathsTotal,0.8669288009836247
overDoseDeathsTotal,k12Funding,0.8593597821644041
overDoseDeathsTotal,Gdp2021,0.8525633316694352
overDoseDeathsTotal,gdp2022,0.8519269300477942
medicaidEnrollmentTraditionalPercent,childPovertyPercent,0.8505377056626257
PropertyValuationTotal,overDoseDeathsTotal,0.8470132748678304
over65ChangeSince2014Percent,medianAge,0.837850431415113
medicaidEnrollmentExpansionPercent,foodInsecurity2021Percent,0.835656770131805
educationalAttainmentPercent,computingDeviceAccess2019Percent,0.8222323379040145
