,population,populationRank,populationPercentOfState,populationPercentOfStateRank,populationChangeSince2014,populationChangeSince2014Rank,populationChangeSince2014Number,populationChangeSince2014NumberRank,medianAge,medianAgeRank,medianAgeChangePercent,under18ChangeRank,under18Percent,under18Rank,under18ChangeSince2014Percent,under18ChangeSince2014Rank,over65in2024Percent,over65in2024Rank,over65ChangeSince2014Percent,over65ChangeSince2014Rank,veteranPercent,veteranRank,veteranNumber,veteranNumberRank,agriculturalLandAcres,agriculturalLandRank,agriculturalLandChangeSince2017Percent,agriculturalLandChangeSince2017Rank,numberOfFarms,numberOfFarmsRank,numberOfFarmsChangeSince2017Percent,numberOfFarmsChangeSince2017Rank,broadbandInternetAccess2022Percent,broadbandInternetAccessPercent2022Rank,broadbandInternetAccess2019Percent,broadbandInternetAccessPercent2019Rank,computingDeviceAccess2022Percent,computingDeviceAccess2022PercentRank,computingDeviceAccess2019Percent,computingDeviceAccess2019PercentRank,childPovertyPercent,childPovertyPercentRank,childPovertyTotal,childPovertyTotalRank,averageWeeklyWage,averageWeeklyWageRank,averageWeeklyWageAsPercentofStateAverage,averageWeeklyWageAsPercentofStateAverageRank,perCapitaIncome,perCapitaIncomeRank,perCapitaIncomeAsPercentofStatePCI,perCapitaIncomeAsPercentofStatePCIRank,gdp2022,gdp2022Rank,Gdp2021,gdp2021Rank,preKEnrollment2023Percent,preKEnrollment2023PercentRank,preKEnrollment2022Percent,preKEnrollment2022PercentRank,k12FundingADM,k12FundingADMRank,k12Funding,k12FundingRank,youthOpportunity2022Percent,youthOpportunity2022PercentRank,youthOpportunity2019Percent,youthOpportunity2019PercentRank,adultsWithoutHSDiplomaPercent,adultsWithoutHSDiplomaPercentRank,adultsWithoutHSDiplomaTotal,adultsWithoutHSDiplomaTotalRank,educationalAttainmentPercent,educationalAttainmentPercentRank,educationalAttainmentNumber,educationalAttainmentGoal2030,foodInsecurity2022Percent,foodInsecurity2022PercentRank,foodInsecurity2021Percent,foodInsecurity2021PercentRank,medicaidEnrollmentTraditionalPercent,medicaidEnrollmentTraditionalPercentRank,medicaidEnrollmentTraditionalNumber,medicaidEnrollmentTraditionalNumberRank,medicaidEnrollmentExpansionPercent,medicaidEnrollmentExpansionPercentRank,medicaidEnrollmentExpansionNumber,medicaidEnrollmentExpansionNumberRank,uninsuredResidents2021Percent,uninsuredResidents2021PercentRank,uninsuredResidents2020Percent,uninsuredResidents2020PercentRank,drugOverdoseEmergenciesPerHundredThousand,drugOverdoseEmergenciesPerHundredThousandRank,drugOverdoseEmergenciesTotal,drugOverdoseEmergenciesTotalRank,overDoseDeathsPerHundredThousand,overDoseDeathsRank,overDoseDeathsTotal,overDoseDeathsTotalRank,propertyTaxRate,propertyTaxRateRank,propertyTaxLevy,propertyTaxLevyRank,propertyTaxPerCapita,propertyTaxPerCapitaRank,propertyTaxTotalLevy,propertyTaxTotalLevyRank,PropertyValuationPerCapita,PropertyValuationPerCapitaRank,PropertyValuationTotal,PropertyValuationTotalRank,puvDeferredShare,puvDeferredShareRank,puvValuationDeferred,puvValuationDeferredRank,localSalesTaxRate,Area (Square Mile),demVotePercent2000,repVotePercent2000,demVotePercent2004,repVotePercent2004,demVotePercent2008,repVotePercent2008,demVotePercent2012,repVotePercent2012,demVotePercent2016,repVotePercent2016,demVotePercent2020,repVotePercent2020,demVotePercent2024,repVotePercent2024
Alamance,184114,15,0.0168,15,0.1836,13,28556,13,40.2239,70,0.9062,55,0.2051,38,0.2267,31,0.1908,74,0.1588,70,0.0514,82,9461,22,68769,51,-0.1408,75,724,21,0.0056,24,0.8600,32,0.7760,42,0.8229,28,0.7946,33,0.1500,16,5692,82,978,29,0.7750,29,48980,45,0.8429,45,6674.7130,18,6674.6940,18,0.4744,75,0.4640,76,"1,970.6644",49,48.8272,16,0.1249,39,0.1011,21,0.1107,52,4646,87,0.4768,30,20008,25925,0.1430,23,0.1140,22,0.3120,49,56595,88,0.0728,23,7674,83,0.1400,65,0.1450,65,168,62,284,86,34,31,58,78,0.4690,18,0.4320,13,601.3887,91,109.0883,20,139210.3498,45,25251.9222,16,0.0206,83,442.1605,25,0.0675,423.5000,0.373342742280387,0.626657257719613,0.383159220567534,0.616840779432466,0.453423648023582,0.546576351976418,0.430680885972108,0.569319114027892,0.434579303111525,0.565420696888475,0.457405072984531,0.542594927015469,0.458712074163571,0.541287925836429
Alexander,36464,67,0.0033,67,-0.0097,63,-359,63,44.2254,33,1.7993,25,0.1844,68,0.2082,65,0.2163,47,0.1771,49,0.0535,77,1950,72,50799,69,-0.0618,57,535,32,-0.0165,30,0.8360,42,0.7400,55,0.7722,54,0.7442,57,0.2090,47,1467,39,841,85,0.6664,85,48035,55,0.8266,55,884.3990,71,843.8640,71,0.3487,88,0.3383,93,"1,734.0132",59,7.3834,65,0.1670,72,0.1631,71,0.1145,54,990,40,0.3691,75,3191,4753,0.1490,34,0.1160,23,0.2940,39,10686,34,0.0834,40,1790,36,0.1290,41,0.1250,26,163,60,61,41,29,23,11,26,0.6500,58,0.6700,55,744.9968,65,27.0829,68,111193.5448,63,4042.2189,69,0.0760,34,272.1266,56,0.0700,260.0000,0.310710023866348,0.689289976133652,0.297053904541361,0.702946095458639,0.304711918381789,0.695288081618211,0.273422675521822,0.726577324478178,0.213306908267271,0.786693091732729,0.206908600808666,0.793091399191334,0.198397185301016,0.801602814698984
Alleghany,11464,93,0.0010,93,0.0494,54,540,54,45.9308,22,-1.0352,91,0.1675,83,0.1850,87,0.2668,18,0.2405,11,0.0725,31,831,94,63298,59,-0.1033,65,435,40,-0.0290,36,0.7920,69,0.7640,46,0.7166,78,0.7248,69,0.2530,72,458,8,779,96,0.6173,96,44464,80,0.7652,80,302.9810,90,303.3260,90,1.1270,14,0.9863,14,"2,170.7882",39,2.8589,83,0.1432,55,0.1597,66,0.2228,97,503,22,0.3773,70,852,1066,0.1800,93,0.1580,93,0.3109,47,3552,9,0.0921,56,562,8,0.1840,95,0.1700,89,135,48,15,15,45,57,5,10,0.5970,44,0.5970,36,1093.0464,16,12.4891,89,183089.8556,24,2091.9847,85,0.1708,8,366.6975,37,0.0700,234.8000,0.40390956194065,0.59609043805935,0.4,0.6,0.392808551992225,0.607191448007775,0.318318922179771,0.681681077820229,0.255078125,0.744921875,0.247131215699318,0.752868784300682,0.238302502720348,0.761697497279652
Anson,22059,75,0.0020,75,-0.1225,90,-3079,90,40.2914,69,0.3155,78,0.2108,28,0.2104,58,0.1949,71,0.1630,62,0.0633,43,1396,77,84695,39,-0.0074,42,421,43,0.0218,18,0.8340,43,0.7460,52,0.7123,79,0.6907,80,0.3260,94,1395,38,857,73,0.6791,73,50187,37,0.8637,37,836.6970,72,761.8180,76,0.6095,59,1.0131,13,null,null,null,null,0.1033,24,0.1552,62,0.1399,78,791,35,0.2314,100,1308,3185,0.1610,62,0.1250,39,0.4601,91,10163,33,0.1418,94,1754,35,0.1300,44,0.1280,33,160,57,39,31,29,21,7,18,0.7770,82,0.7770,78,783.9741,55,17.3156,80,100897.5611,75,2228.5244,82,0.2062,3,346.2923,38,0.0700,531.5000,0.602539922041997,0.397460077958003,0.587794548810946,0.412205451189054,0.605458126230892,0.394541873769108,0.627536879749665,0.372463120250335,0.565267727930535,0.434732272069465,0.521062106210621,0.478937893789379,0.487381703470032,0.512618296529968
Ashe,27196,73,0.0025,73,0.0193,55,514,55,48.3449,12,1.8653,23,0.1670,86,0.1886,81,0.2710,15,0.2291,15,0.0553,70,1503,74,84498,40,-0.2304,88,760,17,-0.1204,65,0.7940,65,0.7040,70,0.7858,48,0.7392,59,0.2060,45,911,24,859,71,0.6807,71,44433,81,0.7646,81,777.8080,76,763.3590,75,0.7879,33,1.2952,3,"2,390.4920",29,6.2966,67,0.0554,9,0.0561,4,0.0904,36,516,24,0.4385,42,2504,4133,0.1620,64,0.1310,50,0.2791,32,7528,26,0.0797,31,1167,22,0.1370,57,0.1380,57,96,28,26,25,26,17,7,18,0.4400,14,0.4400,14,977.1610,27,26.3589,70,222082.0430,10,5990.6631,55,0.0750,35,428.7048,29,0.0700,426.3000,0.391814008010159,0.608185991989841,0.38040615175461,0.61959384824539,0.380982170785111,0.619017829214889,0.33306360252468,0.66693639747532,0.271065675340768,0.728934324659232,0.266666666666667,0.733333333333333,0.275902864259029,0.724097135740971
Avery,17395,84,0.0016,84,-0.0201,62,-357,62,46.1265,20,2.2736,14,0.1526,96,0.1616,99,0.2364,32,0.1986,26,0.0513,83,892,92,22598,87,-0.2120,86,335,55,-0.0456,41,0.8110,50,0.7090,69,0.7786,50,0.7323,65,0.2050,44,502,10,808,94,0.6403,94,45653,69,0.7856,69,630.1700,80,631.5710,79,0.7561,36,0.8537,29,"2,889.2456",18,5.4000,73,0.0551,6,0.0587,6,0.1234,62,538,26,0.3872,66,1688,1782,0.1530,39,0.1310,50,0.2515,20,4374,11,0.0666,20,726,13,0.1550,80,0.1630,87,103,32,18,19,29,19,5,10,0.4000,9,0.4000,9,1411.8773,5,24.5582,74,352969.3138,2,6139.5482,54,0.0184,87,105.4974,92,0.0675,247.3000,0.253839205058717,0.746160794941283,0.241213417078712,0.758786582921288,0.277134495482886,0.722865504517114,0.246077405857741,0.753922594142259,0.211468636534368,0.788531363465632,0.234006194595749,0.765993805404251,0.236145090947772,0.763854909052228
Beaufort,43593,58,0.0040,58,-0.0608,87,-2822,87,46.1004,21,1.3820,38,0.1912,62,0.2135,52,0.2690,17,0.2168,20,0.0736,27,3207,50,139853,14,0.0027,38,259,66,-0.1645,81,0.8110,50,0.6930,77,0.7756,52,0.7359,63,0.2820,82,2374,50,906,44,0.7179,44,54554,25,0.9388,25,1861.6360,49,1876.2830,47,0.5159,69,0.4664,75,"2,589.9406",23,15.5785,40,0.1857,88,0.1354,47,0.1211,60,1123,42,0.4051,60,3755,5588,0.1570,50,0.1320,55,0.3677,73,16100,45,0.1136,83,2666,46,0.1380,61,0.1370,55,81,22,38,30,51,73,24,53,0.6250,52,0.6250,44,921.1172,37,40.3311,54,147378.7443,38,6452.9783,51,0.0623,40,273.8116,53,0.0675,832.7000,0.386484124672298,0.613515875327702,0.361052577478542,0.638947422521458,0.412586191847779,0.587413808152221,0.402998462327012,0.597001537672988,0.376024370360836,0.623975629639164,0.372314761631246,0.627685238368754,0.343480736382615,0.656519263617385
Bertie,16739,85,0.0015,85,-0.1525,89,-3011,89,40.6010,68,-1.3840,94,0.1945,55,0.1998,71,0.2121,51,0.1810,41,0.0648,40,1085,86,161862,8,0.0928,20,288,59,-0.1084,59,0.6370,99,0.5820,96,0.6940,88,0.6346,93,0.3490,96,996,26,812,93,0.6434,93,49409,43,0.8503,43,641.2690,78,629.4950,80,0.7935,32,0.8911,24,"1,851.7865",54,3.0277,79,0.1854,87,0.1846,87,0.1683,92,726,31,0.3683,77,1589,2372,0.1600,57,0.1410,75,0.4360,85,7342,24,0.1150,85,1103,20,0.1170,12,0.1140,7,69,10,13,12,32,27,6,14,0.9300,98,0.8650,95,765.3820,60,12.8883,87,88483.4709,87,1489.9732,94,0.1570,11,188.0740,75,0.0700,699.2000,0.651930609960828,0.348069390039172,0.617636022514071,0.382363977485929,0.653423673134175,0.346576326865825,0.66405475104146,0.33594524895854,0.625730994152047,0.374269005847953,0.608753587535875,0.391246412464125,0.578901195306503,0.421098804693497
Bladen,28850,72,0.0026,72,-0.1218,91,-4001,91,38.2589,84,-2.4802,98,0.2230,17,0.2246,35,0.1952,70,0.1771,48,0.0728,28,2101,71,146195,11,-0.1893,81,423,42,-0.1738,82,0.8040,58,0.7020,73,0.6953,87,0.7015,79,0.2750,79,1599,40,884,57,0.7005,57,48424,52,0.8333,52,1413.7950,63,1415.8020,64,0.9734,18,0.8716,27,"1,739.1327",58,8.0226,64,0.2067,96,0.2241,97,0.0879,31,565,27,0.3607,80,2319,4501,0.1750,88,0.1470,85,0.4630,93,13382,41,0.1192,87,1953,39,0.1450,71,0.1550,81,208,82,68,44,58,84,19,38,0.7850,83,0.7850,79,963.3205,28,27.8419,67,122715.9842,57,3546.7374,73,0.0956,24,243.2074,59,0.0675,875.0000,0.541965764770845,0.458034235229155,0.497354066596108,0.502645933403892,0.51043223919402,0.48956776080598,0.509930423782416,0.490069576217584,0.452203997949769,0.547796002050231,0.430890483472533,0.569109516527467,0.397478234764335,0.602521765235665
Brunswick,166886,19,0.0152,19,0.4452,5,51407,5,53.5000,1,4.2242,2,0.1394,99,0.1772,91,0.3252,3,0.2672,5,0.0870,14,14521,10,45150,72,0.0102,34,238,70,0.0303,17,0.9260,5,0.8450,12,0.9008,3,0.8703,11,0.1650,27,3441,67,951,32,0.7536,32,58281,16,1.0030,16,5646.9570,20,5377.1030,20,0.5195,67,0.4935,70,"3,693.9964",6,54.4310,14,0.1241,38,0.1515,60,0.0811,28,2077,61,0.4827,28,12365,22373,0.1350,17,0.1120,19,0.2242,12,35875,76,0.0814,33,6725,79,0.1220,21,0.1170,11,77,18,110,58,46,59,65,80,0.3420,5,0.3420,5,1075.4874,18,172.1017,15,314470.0100,4,50322.1199,7,0.0136,90,619.8556,16,0.0675,850.1000,0.459555088456823,0.540444911543177,0.393967431532198,0.606032568467802,0.409549957760541,0.590450042239459,0.388122787552174,0.611877212447826,0.352746886457986,0.647253113542014,0.373598026020637,0.626401973979363,0.374781684609343,0.625218315390657
