Source List,,,,,,
Category,,Indicator,Notes,,Source (Click for Hyperlinks),
Demographics,,County Population,"Shows the estimated population for each county in 2024, and the share of the state's population that lives in that county.",,"North Carolina State Demographer's Office. Under County/State Population Projections, download ""Data (Excel format)"" under the header ""Sex and Single Years of Age (2000-2050)."" 
",
Demographics,,Population Change Since 2014,Calculated by NCACC using data provided by the North Carolina State Demographer's Office.,,See County Population row. ,
Demographics,,Median Age,"The ""median age"" for a county is the age at which half of the population is older and half of the population is younger.
",,See County Population row. ,
Demographics,,"Population
Under Age 18","Calculated by NCACC by dividing the estimated number of residents age 17 or younger per county by a county's population, using 2024 population estimates.
",,See County Population row. ,
Demographics,,"Population
Aged 65+","Calculated by NCACC by dividing the estimated number of residents age 65 or older per county by a county's population, using 2024 population estimates.
",,See County Population row. ,
Demographics,,Veteran Population,"Calculated by NCACC by dividing the estimated number of veterans in each county by the county's population, using 2024 data. Veteran data is created by the US Veterans Administration and generally excludes veterans who enlisted in the last 40 years and did not complete a minimum service requirement, typically 2 years.
",,"Veterans data: North Carolina State Demographer's Office.
",
,,,,,Population data: See County Population row. ,
Health,,Food Insecurity,None.,,"Feeding America, Mapping the Meal Gap.",
Health,,Traditional Medicaid Enrollment,"Calculated by NCACC by dividing the number of unique Medicaid beneficiaries (called ""Medicaid eligibles"") per county by a county's population. Note that for Medicaid Expansion the denominator is adults aged 19-64; the denominator here is total county population.",,"Medicaid eligibles data: North Carolina State Demographer's Office.
",
,,,,,Population data: See County Population row.,
Health,,Medicaid Expansion Enrollment,"In Session Law 2023-7, North Carolina expanded Medicaid coverage under an optional federal initiative designed to provide healthcare coverage to a broader range of low-income individuals and families. Medicaid Expansion provides coverage to adults ages 19 through 64 earning up to 138% of the Federal Poverty Level. Note that for Traditional Medicaid Enrollment, the denominator is total county population, while the denominator here is adults aged 19-64.",,Provided to NCACC by the North Carolina Department of Health and Human Services (DHHS). The most recent data on Expansion enrollment can be seen on DHHS's Medicaid Expansion Dashboard. ,
Health,,Uninsured Residents,Calculated by NCACC by dividing the number of uninsured residents per county by a county's population.,,"Uninsured population (data field NUI) and population (data field NIPR) from the 2021 and 2020 model-based data files of the US Census Bureau Small Area Health Insurance Estimates.
",
Health,,Emergency Department Visits for Drug Overdose,"From North Carolina DHHS: ""In 2022, for every 1 drug overdose death there were 4 Emergency Department (ED) visits due to overdose in North Carolina. These ED visits are limited to unintentional and undetermined intent cases only and overdose of drugs and medicaments with dependency potential. As a key OSUAP metric, a goal was set to reduce the expected number of overdose ED visits by 20% by the end of 2024."" ",,"NC DHHS Opioid and Substance Use Action Plan Data Dashboard; indicator ""1) Track Progress (M2): ED Visits.""",
Health,,Overdose Deaths,"From North Carolina DHHS: ""Overdose deaths occurring among North Carolina residents have been on the rise. This metric includes deaths involving all types of medications and drugs: opioids (commonly prescribed opioids, heroin, and synthetic narcotics like fentanyl and fentanyl-analogues), stimulants (cocaine, methamphetamine), benzodiazepines, and others. This metric includes fatal overdoses of all intents; over 90% of these deaths are unintentional. As a key OSUAP metric, a goal was set to reduce the expected number of overdose deaths by 20% by the end of 2024.""",,"NC DHHS Opioid and Substance Use Action Plan Data Dashboard; indicator ""1) Track progress (M1): Deaths.""",
Education,,NC Pre-K Enrollment,"Rates are calculated by dividing the number of children enrolled by the estimated number of income-eligible 4 year-olds. However, other children are also eligible regardless of income in certain cases, such as children of certain military families and children with risk factors in specific categories, including developmental disability, Limited English Proficiency, educational need, or chronic health condition. Because of this, some county estimates exceed 100%.",,"myFutureNC. Download the file "" 2024 Attainment Profiles Data Summary xlsx.""",
