county_name,democrat2000,democrat2004,democrat2008,democrat2012,democrat2016,democrat2020,democrat2024,republican2000,republican2004,republican2008,republican2012,republican2016,republican2020,republican2024
ALAMANCE,17459,20686,28918,28875,29833,38825,40624,29305,33302,34859,38170,38815,46056,47937
ALEXANDER,4166,4618,5167,4611,3767,4145,4060,9242,10928,11790,12253,13893,15888,16404
ALLEGHANY,1715,1922,2021,1583,1306,1486,1533,2531,2883,3124,3390,3814,4527,4900
ANSON,4792,5413,6456,7019,5859,5789,5253,3161,3796,4207,4166,4506,5321,5525
ASHE,4011,4477,4872,4116,3500,4164,4431,6226,7292,7916,8242,9412,11451,11629
AVERY,1686,1805,2178,1882,1689,2191,2220,4956,5678,5681,5766,6298,7172,7181
BEAUFORT,6634,7025,9454,9435,8764,9723,9049,10531,12432,13460,13977,14543,16392,17296
BERTIE,4660,4938,6365,6695,5778,5939,5279,2488,3057,3376,3387,3456,3817,3840
BLADEN,5889,6109,7853,8062,7058,7326,6620,4977,6174,7532,7748,8550,9676,10035
BRUNSWICK,13118,14903,21331,22038,23282,33310,40557,15427,22925,30753,34743,42720,55850,67658
BUNCOMBE,38545,51868,69716,70625,75452,96515,98662,46101,52491,52494,54701,55716,62412,59016
BURKE,11924,11728,14901,13701,11251,13118,13272,18466,18922,22102,22267,26238,31019,32130
CABARRUS,16284,19803,31546,32849,35521,52162,54494,32704,40780,45924,49557,53819,63237,63746
CALDWELL,8588,9999,12081,10898,8425,10245,10146,17337,21186,22526,23229,26621,32119,33009
CAMDEN,1187,1339,1597,1508,1274,1537,1522,1628,2480,3140,3109,3546,4312,4716
CARTERET,8839,7732,11130,10301,9939,12093,12813,17381,17716,23131,24775,26569,30028,32508
CASWELL,4091,4539,5545,5348,4792,4860,4493,4270,4868,5208,5594,6026,7089,7445
CATAWBA,16246,18858,25656,24069,21216,25689,26569,34244,39602,42993,44538,48324,56588,59577
CHATHAM,10461,12897,17862,18361,21065,26787,29014,10248,12892,14668,16665,17105,21276,22507
CHEROKEE,3239,3635,3785,3378,2860,3583,3686,6305,7517,8643,9278,10844,12628,13883
CHOWAN,2430,2406,3688,3556,2992,3247,2895,2415,2967,3773,3891,4014,4471,4587
