county_name,democrat2000,democrat2004,democrat2008,democrat2012,democrat2016,democrat2020,democrat2024,republican2000,republican2004,republican2008,republican2012,republican2016,republican2020,republican2024,demVotePercent2000,repVotePercent2000,demVotePercent2004,repVotePercent2004,demVotePercent2008,repVotePercent2008,demVotePercent2012,repVotePercent2012,demVotePercent2016,repVotePercent2016,demVotePercent2020,repVotePercent2020,demVotePercent2024,repVotePercent2024
ALAMANCE,17459,20686,28918,28875,29833,38825,40624,29305,33302,34859,38170,38815,46056,47937,37.33,62.67,38.32,61.68,45.34,54.66,43.07,56.93,43.46,56.54,45.74,54.26,45.87,54.13
ALEXANDER,4166,4618,5167,4611,3767,4145,4060,9242,10928,11790,12253,13893,15888,16404,31.07,68.93,29.71,70.29,30.47,69.53,27.34,72.66,21.33,78.67,20.69,79.31,19.84,80.16
ALLEGHANY,1715,1922,2021,1583,1306,1486,1533,2531,2883,3124,3390,3814,4527,4900,40.39,59.61,40.0,60.0,39.28,60.72,31.83,68.17,25.51,74.49,24.71,75.29,23.83,76.17
ANSON,4792,5413,6456,7019,5859,5789,5253,3161,3796,4207,4166,4506,5321,5525,60.25,39.75,58.78,41.22,60.55,39.45,62.75,37.25,56.53,43.47,52.11,47.89,48.74,51.26
ASHE,4011,4477,4872,4116,3500,4164,4431,6226,7292,7916,8242,9412,11451,11629,39.18,60.82,38.04,61.96,38.1,61.9,33.31,66.69,27.11,72.89,26.67,73.33,27.59,72.41
AVERY,1686,1805,2178,1882,1689,2191,2220,4956,5678,5681,5766,6298,7172,7181,25.38,74.62,24.12,75.88,27.71,72.29,24.61,75.39,21.15,78.85,23.4,76.6,23.61,76.39
BEAUFORT,6634,7025,9454,9435,8764,9723,9049,10531,12432,13460,13977,14543,16392,17296,38.65,61.35,36.11,63.89,41.26,58.74,40.3,59.7,37.6,62.4,37.23,62.77,34.35,65.65
BERTIE,4660,4938,6365,6695,5778,5939,5279,2488,3057,3376,3387,3456,3817,3840,65.19,34.81,61.76,38.24,65.34,34.66,66.41,33.59,62.57,37.43,60.88,39.12,57.89,42.11
BLADEN,5889,6109,7853,8062,7058,7326,6620,4977,6174,7532,7748,8550,9676,10035,54.2,45.8,49.74,50.26,51.04,48.96,50.99,49.01,45.22,54.78,43.09,56.91,39.75,60.25
BRUNSWICK,13118,14903,21331,22038,23282,33310,40557,15427,22925,30753,34743,42720,55850,67658,45.96,54.04,39.4,60.6,40.95,59.05,38.81,61.19,35.27,64.73,37.36,62.64,37.48,62.52
BUNCOMBE,38545,51868,69716,70625,75452,96515,98662,46101,52491,52494,54701,55716,62412,59016,45.54,54.46,49.7,50.3,57.05,42.95,56.35,43.65,57.52,42.48,60.73,39.27,62.57,37.43
BURKE,11924,11728,14901,13701,11251,13118,13272,18466,18922,22102,22267,26238,31019,32130,39.24,60.76,38.26,61.74,40.27,59.73,38.09,61.91,30.01,69.99,29.72,70.28,29.23,70.77
CABARRUS,16284,19803,31546,32849,35521,52162,54494,32704,40780,45924,49557,53819,63237,63746,33.24,66.76,32.69,67.31,40.72,59.28,39.86,60.14,39.76,60.24,45.2,54.8,46.09,53.91
CALDWELL,8588,9999,12081,10898,8425,10245,10146,17337,21186,22526,23229,26621,32119,33009,33.13,66.87,32.06,67.94,34.91,65.09,31.93,68.07,24.04,75.96,24.18,75.82,23.51,76.49
CAMDEN,1187,1339,1597,1508,1274,1537,1522,1628,2480,3140,3109,3546,4312,4716,42.17,57.83,35.06,64.94,33.71,66.29,32.66,67.34,26.43,73.57,26.28,73.72,24.4,75.6
CARTERET,8839,7732,11130,10301,9939,12093,12813,17381,17716,23131,24775,26569,30028,32508,33.71,66.29,30.38,69.62,32.49,67.51,29.37,70.63,27.22,72.78,28.71,71.29,28.27,71.73
CASWELL,4091,4539,5545,5348,4792,4860,4493,4270,4868,5208,5594,6026,7089,7445,48.93,51.07,48.25,51.75,51.57,48.43,48.88,51.12,44.3,55.7,40.67,59.33,37.64,62.36
CATAWBA,16246,18858,25656,24069,21216,25689,26569,34244,39602,42993,44538,48324,56588,59577,32.18,67.82,32.26,67.74,37.37,62.63,35.08,64.92,30.51,69.49,31.22,68.78,30.84,69.16
CHATHAM,10461,12897,17862,18361,21065,26787,29014,10248,12892,14668,16665,17105,21276,22507,50.51,49.49,50.01,49.99,54.91,45.09,52.42,47.58,55.19,44.81,55.73,44.27,56.31,43.69
CHEROKEE,3239,3635,3785,3378,2860,3583,3686,6305,7517,8643,9278,10844,12628,13883,33.94,66.06,32.6,67.4,30.46,69.54,26.69,73.31,20.87,79.13,22.1,77.9,20.98,79.02
CHOWAN,2430,2406,3688,3556,2992,3247,2895,2415,2967,3773,3891,4014,4471,4587,50.15,49.85,44.78,55.22,49.43,50.57,47.75,52.25,42.71,57.29,42.07,57.93,38.69,61.31
CLAY,1361,1628,1734,1579,1367,1699,1899,2416,3209,3707,3973,4437,5112,5761,36.03,63.97,33.66,66.34,31.87,68.13,28.44,71.56,23.55,76.45,24.94,75.06,24.79,75.21
