lea_code,lea_name,3rd Grade Grade-Level Reading Proficiency,,
34Z000,Appalachian Academy at Middle Fork,19.5%,,
41Z000,Aggie Academy,62.1%,,
60Z000,Niner University Elementary,30.0%,,
65Z000,D.C. Virgo Preparatory Academy,11.8%,,
74Z000,ECU Community School,25.0%,,
79Z000,Moss Street Partnership School,21.4%,,
86Z000,Appalachian State Univ Academy at Elkin,33.3%,,
00A000,North Carolina Cyber Academy,44.6%,,
00B000,NC Virtual Academy,60.6%,,
01B000,River Mill Academy,61.2%,,
01C000,Clover Garden,75.0%,,
01D000,The Hawbridge School,66.7%,,
01F000,Alamance Community School,43.5%,,
06B000,Marjorie Williams Academy,*,,
07A000,Washington Montessori,89.2%,,
09B000,Emereau Bladen,52.9%,,
10A000,Classical Charter Schools of Leland,45.5%,,
10B000,Classical Charter Schools of Southport,53.8%,,
11A000,Evergreen Community Charter,58.3%,,
11B000,ArtSpace Charter School,61.9%,,
11C000,IC Imagine,62.4%,,
11F000,Asheville PEAK Academy,44.4%,,
11K000,Francine Delany New School,57.1%,,
12A000,New Dimensions,55.6%,,
13A000,Carolina International School,46.7%,,
13B000,Cabarrus Charter Academy,64.0%,,
13C000,A.C.E. Academy,50.0%,,
13D000,Concord Lake STEAM Academy,52.2%,,
14B000,Oak Hill Charter School,41.2%,,
16B000,Tiller School,46.9%,,
19A000,Chatham Charter,63.4%,,
19B000,Woods Charter,88.9%,,
19C000,Willow Oak Montessori,51.3%,,
23A000,Pinnacle Classical Academy,50.0%,,
24N000,Classical Charter Schools of Whiteville,32.4%,,
26B000,Alpha Academy,56.3%,,
26C000,The Capitol Encore Academy,37.3%,,
27A000,Water's Edge Village School,*,,
29A000,Davidson Charter Academy,58.7%,,
32A000,Maureen Joy Charter School,33.8%,,
32B000,Durham Charter School,48.1%,,
32C000,Community School of Digital & Visual Art,16.7%,,
32D000,Kestrel Heights School,51.1%,,
32H000,Research Triangle Charter,32.5%,,
32K000,Central Park School For Children,55.0%,,
32L000,Voyager Academy,64.6%,,
32M000,Global Scholars Academy,40.9%,,
32P000,The Institute Development Young Leaders,30.2%,,
32Q000,Reaching All Minds Academy,29.5%,,
32R000,Excelsior Classical Academy,61.5%,,
33A000,North East Carolina Prep,39.7%,,
34B000,Quality Education Academy,36.4%,,
34D000,Carter G. Woodson School,29.4%,,
34F000,Forsyth Academy,38.0%,,
34G000,The Arts Based School,63.5%,,
34H000,NC Leadership Charter Academy,82.4%,,
35A000,Crosscreek Charter School,35.6%,,
35B000,Youngsville Academy,67.9%,,
