,,Teacher Salary Supplements,,,,Third Grade Reading Proficiency,
LEA Code,LEA Name,2023-24 Supplement in $,Rank,2022-23 Supplement in $,Rank,"Grade-level 
Proficient",Rank
010,Alamance-Burl.,"$6,568",20,"$5,864",22,40%,8000%
020,Alexander Co.," 	6,991 ",16," 	6,835 ",13,50%,32
030,Alleghany Co.," 	4,784 ",59," 	3,650 ",74,43%,64
040,Anson Co.," 	4,636 ",64," 	1,151 ",106,35%,93
050,Ashe Co.," 	3,555 ",83," 	3,042 ",84,50%,34
060,Avery Co.," 	1,542 ",104," 	1,534 ",101,48%,44
070,Beaufort Co.," 	1,647 ",103," 	3,651 ",73,46%,49
080,Bertie Co.," 	6,850 ",17," 	1,273 ",105,31%,103
090,Bladen Co.," 	1,901 ",101," 	1,912 ",99,27%,111
100,Brunswick Co.," 	6,839 ",18," 	5,262 ",34,51%,30
110,Buncombe Co.," 	7,107 ",14," 	8,292 ",6,49%,35
111,Asheville City," 	5,451 ",46," 	5,672 ",24,57%,11
120,Burke Co.," 	3,636 ",82," 	2,980 ",89,43%,66
130,Cabarrus Co.," 	6,481 ",23," 	6,039 ",20,54%,18
132,Kannapolis City," 	4,352 ",71," 	3,906 ",66,31%,101
140,Caldwell Co.," 	2,938 ",95," 	1,968 ",98,44%,63
150,Camden Co.," 	6,215 ",28," 	6,335 ",17,68%,1
160,Carteret Co.," 	4,102 ",76," 	4,489 ",53,60%,5
170,Caswell Co., 	-   ,113," 	5,091 ",40,31%,105
180,Catawba Co.," 	4,668 ",62," 	4,372 ",56,43%,69
181,Hickory City," 	5,222 ",51," 	5,138 ",38,46%,54
182,Newton-Conov.," 	4,146 ",74," 	4,897 ",42,39%,82
190,Chatham Co.," 	7,504 ",12," 	7,413 ",12,52%,26
200,Cherokee Co.," 	4,751 ",60," 	4,272 ",59,44%,61
210,Edenton-Chow.," 	6,564 ",21," 	5,991 ",21,33%,99
220,Clay Co.," 	4,133 ",75," 	4,170 ",61,52%,21
230,Cleveland Co.," 	6,017 ",31," 	3,591 ",76,51%,31
240,Columbus Co.," 	3,680 ",81," 	3,923 ",65,43%,64
241,Whiteville City," 	7,625 ",10," 	5,294 ",31,31%,103
250,Craven Co.," 	5,216 ",53," 	4,834 ",43,51%,29
260,Cumberland Co.," 	3,523 ",84," 	3,523 ",78,46%,53
270,Currituck Co.," 	4,182 ",73," 	4,019 ",63,58%,10
280,Dare Co.," 	4,597 ",65," 	4,620 ",48,48%,47
290,Davidson Co.," 	3,176 ",92," 	3,640 ",75,54%,17
291,Lexington City," 	3,014 ",93," 	5,270 ",33,38%,83
292,Thomasville City," 	3,323 ",87," 	3,085 ",83,33%,98
300,Davie Co.," 	5,824 ",37," 	4,319 ",57,49%,38
