,population,populationChangeSince2014,populationChangeSince2014Number,medianAge,veteranNumber,agriculturalLandAcres,numberOfFarms,childPovertyTotal,averageWeeklyWage,perCapitaIncome,gdp2022,Gdp2021,k12FundingADM,k12Funding,adultsWithoutHSDiplomaTotal,educationalAttainmentNumber,educationalAttainmentGoal2030,medicaidEnrollmentTraditionalNumber,medicaidEnrollmentExpansionNumber,drugOverdoseEmergenciesPerHundredThousand,drugOverdoseEmergenciesTotal,overDoseDeathsPerHundredThousand,overDoseDeathsTotal,propertyTaxRate,propertyTaxLevy,propertyTaxPerCapita,propertyTaxTotalLevy,PropertyValuationPerCapita,PropertyValuationTotal,puvDeferredShare,puvValuationDeferred,localSalesTaxRate,Area (Square Mile),Lat,Long
population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
populationChangeSince2014,0.6274973646791350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
populationChangeSince2014Number,0.9673794573645760,0.6857738317188840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medianAge,0.44105920239777200,0.8665149338427510,0.4892474831816140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veteranNumber,0.9478233213595430,0.662589740843204,0.8942155148032270,0.4814864273664270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agriculturalLandAcres,0.45471565807424400,0.6994933633343530,0.4603538676004290,0.764488686800067,0.48711292018971600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numberOfFarms,0.5564184698938630,0.8249295650241970,0.5608510865735820,0.7857551978450890,0.5761684928833970,0.835504453663239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
childPovertyTotal,0.9512355357493370,0.6366437749569540,0.8701022893108170,0.48003374283993800,0.9417554434050590,0.5383009936970600,0.6003814613224360,,,,,,,,,,,,,,,,,,,,,,,,,,,,
averageWeeklyWage,0.7975736366290390,0.8615378937129400,0.7896936916669260,0.7639717199715950,0.790854501511736,0.6880648361144950,0.7630156868285640,0.8132106866498890,,,,,,,,,,,,,,,,,,,,,,,,,,,
perCapitaIncome,0.693590336301543,0.8741034509708600,0.7198675348388920,0.8156433410675830,0.6954345939802940,0.673788501088132,0.7539701884886520,0.6720832091768180,0.8854277324513790,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp2022,0.958924355028748,0.47317686035444700,0.9279747490582290,0.31041040409741600,0.8717718550052050,0.3273920877708630,0.3890893365321620,0.8986432027241640,0.7047218450606460,0.5834186308184740,,,,,,,,,,,,,,,,,,,,,,,,,
Gdp2021,0.9581797385691610,0.47254192592490900,0.9264733700873770,0.3100719952088780,0.8718590313780500,0.3281475018915330,0.38877477565855700,0.8996840703493230,0.7040889872067460,0.5824285169970770,0.9999624452557380,,,,,,,,,,,,,,,,,,,,,,,,
k12FundingADM,0.6204925189557840,0.871048932905819,0.6497216083599470,0.868409167106641,0.6361444407939420,0.6570412099824860,0.7227727937100450,0.6236392553613520,0.8661519042381580,0.9156094410253790,0.5158167316857540,0.5149844846800670,,,,,,,,,,,,,,,,,,,,,,,
k12Funding,0.9831842883022030,0.5342776937542400,0.9618679918314230,0.35353559631958500,0.897110287460646,0.36556142710526700,0.4536318172487460,0.9031070857059400,0.7361377334148470,0.6404311423679180,0.9799559155049450,0.9788359671687750,0.5686472945484980,,,,,,,,,,,,,,,,,,,,,,
adultsWithoutHSDiplomaTotal,0.9746021806624660,0.6056739263559920,0.9280408802644010,0.4393774178718270,0.9088773909578890,0.488873823467808,0.563244559307863,0.9687337296494040,0.7937169912372740,0.661551150555119,0.9630087444273450,0.9636023550423210,0.5970093068989040,0.954616411850298,,,,,,,,,,,,,,,,,,,,,
educationalAttainmentNumber,0.9829123485364490,0.5224187120629130,0.9599434569539980,0.34370665444797000,0.9047251233006840,0.3597635147295240,0.44326064292014900,0.9028631015783910,0.7285713046653390,0.6215099824901700,0.9856401272718650,0.9846150141660070,0.5468505887027500,0.9961842915747340,0.9566369079948920,,,,,,,,,,,,,,,,,,,,
educationalAttainmentGoal2030,0.989005027872738,0.5458624802566170,0.9647593331777330,0.36525631257533300,0.9096475695738180,0.38196622261701900,0.4702577093001960,0.9139137336101430,0.7384310256161610,0.640138020933353,0.9815290509708980,0.9806163852976580,0.5617873385865080,0.9967733175100690,0.9639718690319660,0.9975478621391760,,,,,,,,,,,,,,,,,,,
medicaidEnrollmentTraditionalNumber,0.9782242009031660,0.6370992111559430,0.9168007178042310,0.47056069565066000,0.954213401592205,0.5136981398537410,0.5878101770453320,0.9916396750532420,0.8092574829940660,0.6784942362247110,0.9347914872704510,0.935449508864232,0.6203078643844820,0.9399943347157240,0.9851024060675820,0.9422639498607430,0.9512617472397580,,,,,,,,,,,,,,,,,,
medicaidEnrollmentExpansionNumber,0.9733191483554530,0.6326440169925730,0.9085313324882330,0.4713434994405330,0.9497209563380830,0.5045837530364020,0.5812213564045710,0.9903033681831640,0.8046788562564010,0.6773837251727200,0.934141999934127,0.9350038640877460,0.6224612965894050,0.9349406095330000,0.9838224029985670,0.9372703604685790,0.9470644142580030,0.998068224217532,,,,,,,,,,,,,,,,,
drugOverdoseEmergenciesPerHundredThousand,0.517674753543965,0.7341792454988280,0.5048687266466080,0.7796745639469980,0.5548820232967280,0.7144544797393380,0.7432634045106270,0.6039468361699240,0.7253822945488920,0.6566508206567450,0.4077607505218740,0.40830159779923600,0.6782079081290220,0.4226289605768750,0.5542175016471480,0.4263227898550280,0.43992596795100300,0.5836934621787430,0.5850240706201380,,,,,,,,,,,,,,,,
drugOverdoseEmergenciesTotal,0.9640819968460560,0.6312117414961000,0.8973168904103860,0.4675008626340830,0.932287395232174,0.4848431257200670,0.5947530192081750,0.9803749914016590,0.8064575255140140,0.6698866083678660,0.9202326813148580,0.9208613042293170,0.615688034582446,0.9230538330213660,0.9772476767045750,0.9256873471206300,0.9340755364307700,0.9879320567740580,0.9883963508940570,0.6246669108504360,,,,,,,,,,,,,,,
