Feature 1,Feature 2,Correlation
averageWeeklyWageAsPercentofStateAverage,averageWeeklyWage,1.0
perCapitaIncomeAsPercentofStatePCI,perCapitaIncome,0.9999999999999999
populationPercentOfState,population,0.9999990768801112
Gdp2021,gdp2022,0.9999577415731781
propertyTaxTotalLevy,educationalAttainmentGoal2030,0.9978614484679488
propertyTaxTotalLevy,k12Funding,0.997022329522894
educationalAttainmentGoal2030,k12Funding,0.9963765833603395
repVotePercent2012,repVotePercent2008,0.9949616534692427
demVotePercent2012,demVotePercent2008,0.9949616534692424
repVotePercent2024,repVotePercent2020,0.9948261139456998
demVotePercent2024,demVotePercent2020,0.9948261139456995
educationalAttainmentGoal2030,populationPercentOfState,0.9920223431872875
educationalAttainmentGoal2030,population,0.991936961300896
propertyTaxTotalLevy,populationPercentOfState,0.9901944931391975
propertyTaxTotalLevy,population,0.9901121057742214
repVotePercent2020,repVotePercent2016,0.9892789906690965
demVotePercent2020,demVotePercent2016,0.9892789906690964
k12Funding,populationPercentOfState,0.987194801644077
k12Funding,population,0.9870833098517543
propertyTaxTotalLevy,gdp2022,0.9814601664137854
educationalAttainmentGoal2030,gdp2022,0.9813403295018318
propertyTaxTotalLevy,Gdp2021,0.9803344987449143
educationalAttainmentGoal2030,Gdp2021,0.9803117898033503
demVotePercent2016,demVotePercent2012,0.9799466145264198
repVotePercent2016,repVotePercent2012,0.9799466145264197
demVotePercent2016,demVotePercent2008,0.9797053962487969
repVotePercent2016,repVotePercent2008,0.9797053962487966
k12Funding,gdp2022,0.9784505046416949
k12Funding,Gdp2021,0.9771851915105438
demVotePercent2024,demVotePercent2016,0.9732496152957165
repVotePercent2024,repVotePercent2016,0.9732496152957161
demVotePercent2008,demVotePercent2004,0.972153749226265
repVotePercent2008,repVotePercent2004,0.9721537492262649
repVotePercent2004,repVotePercent2000,0.9697966463672668
demVotePercent2004,demVotePercent2000,0.9697966463672664
computingDeviceAccess2019Percent,computingDeviceAccess2022Percent,0.9667871157379182
gdp2022,populationPercentOfState,0.9664744704219908
gdp2022,population,0.9664098307596382
repVotePercent2012,repVotePercent2004,0.9662626205990635
demVotePercent2012,demVotePercent2004,0.9662626205990634
Gdp2021,populationPercentOfState,0.9656348688770908
Gdp2021,population,0.9655748740980256
over65ChangeSince2014Percent,over65in2024Percent,0.9616973927151954
repVotePercent2020,repVotePercent2008,0.9547661005102026
demVotePercent2020,demVotePercent2008,0.9547661005102024
computingDeviceAccess2019Percent,broadbandInternetAccess2019Percent,0.9541671014447339
foodInsecurity2021Percent,foodInsecurity2022Percent,0.9518087531008937
repVotePercent2020,repVotePercent2012,0.950326179890961
demVotePercent2020,demVotePercent2012,0.9503261798909607
broadbandInternetAccess2019Percent,broadbandInternetAccess2022Percent,0.9331802850239418
propertyTaxLevy,propertyTaxRate,0.932651575118853
demVotePercent2024,demVotePercent2008,0.930990299198853
repVotePercent2024,repVotePercent2008,0.930990299198853
demVotePercent2012,demVotePercent2000,0.9266476538433246
repVotePercent2012,repVotePercent2000,0.9266476538433246
medicaidEnrollmentExpansionPercent,medicaidEnrollmentTraditionalPercent,0.9248465420759939
demVotePercent2016,demVotePercent2004,0.9238649696878852
repVotePercent2016,repVotePercent2004,0.923864969687885
demVotePercent2024,demVotePercent2012,0.9232501311581042
repVotePercent2024,repVotePercent2012,0.9232501311581041
repVotePercent2008,repVotePercent2000,0.9223615419294627
demVotePercent2008,demVotePercent2000,0.9223615419294626
under18ChangeSince2014Percent,under18Percent,0.920034446989659
uninsuredResidents2020Percent,uninsuredResidents2021Percent,0.9185748255769423
computingDeviceAccess2019Percent,broadbandInternetAccess2022Percent,0.9069745048929717
computingDeviceAccess2022Percent,broadbandInternetAccess2019Percent,0.9058763765085671
over65in2024Percent,medianAge,0.8975936954615521
computingDeviceAccess2022Percent,broadbandInternetAccess2022Percent,0.8909844380104185
repVotePercent2020,repVotePercent2004,0.8816699638489497
demVotePercent2020,demVotePercent2004,0.8816699638489497
youthOpportunity2019Percent,youthOpportunity2022Percent,0.8744163862986483
repVotePercent2016,repVotePercent2000,0.8607318847216429
demVotePercent2016,demVotePercent2000,0.8607318847216427
medicaidEnrollmentTraditionalPercent,childPovertyPercent,0.8505377056626257
repVotePercent2024,repVotePercent2004,0.8501134128081167
demVotePercent2024,demVotePercent2004,0.8501134128081167
over65ChangeSince2014Percent,medianAge,0.837850431415113
medicaidEnrollmentExpansionPercent,foodInsecurity2021Percent,0.835656770131805
educationalAttainmentPercent,computingDeviceAccess2019Percent,0.8222323379040145
educationalAttainmentPercent,computingDeviceAccess2022Percent,0.8206422268351867
medicaidEnrollmentExpansionPercent,childPovertyPercent,0.8142600049734452
preKEnrollment2022Percent,preKEnrollment2023Percent,0.8100082713529027
computingDeviceAccess2022Percent,populationChangeSince2014,0.808533745312139
computingDeviceAccess2019Percent,populationChangeSince2014,0.8071865759128627
foodInsecurity2021Percent,childPovertyPercent,0.8066914557881162
repVotePercent2020,repVotePercent2000,0.8020104087935408
demVotePercent2020,demVotePercent2000,0.8020104087935406
averageWeeklyWageAsPercentofStateAverage,population,0.7995503206037661
averageWeeklyWage,population,0.7995503206037661
averageWeeklyWageAsPercentofStateAverage,populationPercentOfState,0.7993413996506838
averageWeeklyWage,populationPercentOfState,0.7993413996506838
k12Funding,averageWeeklyWage,0.798786276089506
